Timestamp,Gender,Location,Age,Qualification_completed,field_of_study,Purpose_for_chilla,Research/Working experience (Float/Int) years,Age (years)-Float/Int,What are you?,Location coordinates (latitude)-Float,Location coordinates (longitude) (float),Blood group ,Which mobile sim do you use,Prepaid or Postpaid,Which PC are you using?,Your Weight in kg? (float),Height in cm? Freelancer- (Float),Do you wear glasses?,When did you write your first line of code?,Your favorite programming language?,Marital Status?,"How many hours you code a day? (int) e.g: 5,4,3",Are you Vaccinated?,Light kitni der band hti hy? int,Where do you live?
1/4/2022 18:05,Male,Pakistan,21-25,Pre-Bachelors,CS/IT,to boost my skill set,0,22,Student,32.166351,74.1959,AB-,Zong,Prepaid,Apna Laptop,68.5,164.592,Yes,>3 years ago,Python,No,2,Yes,1,Rural
1/4/2022 18:05,Male,Pakistan,26-30,Bachelors,Biology,to boost my skill set,2,26,Student,31.582045,74.329376,O+,Mobilink,Prepaid,Apna Laptop,69,164.5,Yes,In this chilla,Python,No,2,Yes,1,Urbun
1/4/2022 18:05,Male,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,3.5,27.9,Employed,33.650027,72.9762926,O+,U-fone,Prepaid,Apna Laptop,63.5,182,No,>3 years ago,Python,No,6,Yes,0,Urbun
1/4/2022 18:05,Male,Pakistan,16-20,Pre-Bachelors,CS/IT,to boost my skill set,0,18,Student,25.0121° N,67.0390° E,O+,Telenor,Prepaid,Apna Laptop,57.4,173.736,No,<3 years ago,Python,No,3,No,0,Urbun
1/4/2022 18:05,Female,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,1,24,Unemplyed,25.3924,68.3737,AB+,U-fone,Prepaid,Apna Laptop,43,152.4,No,In this chilla,Python,No,3,Yes,8,Urbun
1/4/2022 18:05,Male,Pakistan,21-25,Bachelors,Others,to boost my skill set,0,25,Employed,30.5511,72.1357,O+,Mobilink,Prepaid,Apna Laptop,75,166.5,Yes,<3 years ago,Python,No,4,Yes,5,Rural
1/4/2022 18:05,Male,Pakistan,16-20,Bachelors,CS/IT,to boost my skill set,2,19,Student,33.52,73.04,O+,Mobilink,Prepaid,Apna Laptop,50,180.34,Yes,<3 years ago,Python,No,3,Yes,0,Urbun
1/4/2022 18:05,Male,Pakistan,26-30,Masters,CS/IT,to boost my skill set,8,30.4,Employed,30.6679048,73.1242932,O+,Mobilink,Prepaid,Apna Laptop,88,177.8,No,>3 years ago,Python,No,5,Yes,3,Urbun
1/4/2022 18:05,Female,Pakistan,21-25,Bachelors,Natural Sciences,to boost my skill set,O,22,Student,31.52,75.4,O+,Mobilink,Prepaid,Apna Laptop,39.5,155.8,Yes,In this chilla,Python,No,5,Yes,3,Urbun
1/4/2022 18:05,Male,Pakistan,31-35,Bachelors,Enginnering,to boost my skill set,7.5,32,Employed,NA,NA,B+,U-fone,Prepaid,Apna Laptop,72,170,No,In this chilla,Python,Yes,2,Yes,4,Urbun
1/4/2022 18:05,Male,Pakistan,31-35,Masters,Enginnering,Switch my field of study,8,31,Employed,24.86,67,A+,U-fone,Prepaid,Apna Laptop,98,177.8,No,<3 years ago,Python,No,2,Yes,0,Urbun
1/4/2022 18:05,Male,Pakistan,26-30,Bachelors,CS/IT,to boost my skill set,4,28,Employed,31.52,74.35,B+,Mobilink,Prepaid,Apna Laptop,79,5.11,No,>3 years ago,Python,Yes,0,Yes,0,Urbun
1/4/2022 18:05,Male,Pakistan,26-30,Masters,Biology,to boost my skill set,5,27,Student,35.2227,72.4258,O+,Telenor,Prepaid,Apna Laptop,55.5,176.7,No,>3 years ago,Python,No,1,Yes,0,Rural
1/4/2022 18:05,Male,West,26-30,Masters,Natural Sciences,to boost my skill set,1.2,28.11,Student,40.12 N,9.0 E,A+,International,Prepaid,Apna Laptop,68.3,175.1,No,<3 years ago,Python,No,5,No,0,International
1/4/2022 18:05,Male,Pakistan,31-35,Masters,Enginnering,to boost my skill set,4.5,32.8,Employed,24.904577,67.187405,A+,Mobilink,Prepaid,Desktop,88.4,180.34,Yes,In this chilla,C++,Yes,2,Yes,0,Urbun
1/4/2022 18:05,Male,Pakistan,21-25,Bachelors,CS/IT,Switch my field of study,0,25,Student,31.5204,74.358,B+,U-fone,Prepaid,Apna Laptop,84,174,Yes,>3 years ago,Python,No,1,Yes,4,Urbun
1/4/2022 18:05,Male,Pakistan,26-30,Masters,Enginnering,Switch my field of study,1.5,26.5,Student,33.5721,73.149,O+,U-fone,Postpaid,Desktop,82.5,160.02,Yes,In this chilla,Python,No,5,Yes,0,Urbun
1/4/2022 18:05,Male,Pakistan,41-45,Masters,Natural Sciences,Abhi tak pata nahi,2,40,Employed,31.5204,74.3587,O+,Mobilink,Prepaid,Apna Laptop,83.5,175.5,No,<3 years ago,Python,Yes,1,Yes,3,Urbun
